id_kks,value,session_date,session_id,cycle_id,tm_update
17,-0.000214844,2020-05-28-16:06:45,6623,30,1590671236.38395
18,-0.000102539,2020-05-28-16:06:45,6623,30,1590671236.38854
19,9.27735e-05,2020-05-28-16:06:45,6623,30,1590671236.39293
20,0.000126953,2020-05-28-16:06:45,6623,30,1590671236.3972
9,1.56156e-39,2020-05-28-16:06:45,6623,31,1590671237.40374
10,1.56228e-39,2020-05-28-16:06:45,6623,31,1590671237.42024
11,1.563e-39,2020-05-28-16:06:45,6623,31,1590671237.42488
12,1.56371e-39,2020-05-28-16:06:45,6623,31,1590671237.4294
13,-107504.0,2020-05-28-16:06:45,6623,31,1590671237.43427
14,-125.657,2020-05-28-16:06:45,6623,31,1590671237.43882
15,-110.424,2020-05-28-16:06:45,6623,31,1590671237.44929
16,-121.639,2020-05-28-16:06:45,6623,31,1590671237.45361
17,-4.88281e-06,2020-05-28-16:06:45,6623,31,1590671237.45887
18,-3.41797e-05,2020-05-28-16:06:45,6623,31,1590671237.46328
19,0.000361328,2020-05-28-16:06:45,6623,31,1590671237.46755
20,2.92969e-05,2020-05-28-16:06:45,6623,31,1590671237.47192
9,1.56156e-39,2020-05-28-16:06:45,6623,32,1590671238.47869
10,1.56228e-39,2020-05-28-16:06:45,6623,32,1590671238.49525
11,1.563e-39,2020-05-28-16:06:45,6623,32,1590671238.49992
12,1.56371e-39,2020-05-28-16:06:45,6623,32,1590671238.50455
13,-107503.0,2020-05-28-16:06:45,6623,32,1590671238.5094
14,-125.661,2020-05-28-16:06:45,6623,32,1590671238.5138
15,-110.431,2020-05-28-16:06:45,6623,32,1590671238.51796
16,-121.641,2020-05-28-16:06:45,6623,32,1590671238.5219
17,-0.000166016,2020-05-28-16:06:45,6623,32,1590671238.52663
18,3.90625e-05,2020-05-28-16:06:45,6623,32,1590671238.53084
19,9.76563e-05,2020-05-28-16:06:45,6623,32,1590671238.53482
20,4.88281e-05,2020-05-28-16:06:45,6623,32,1590671238.53884
9,1.56156e-39,2020-05-28-16:06:45,6623,33,1590671239.54523
10,1.56228e-39,2020-05-28-16:06:45,6623,33,1590671239.54929
11,1.563e-39,2020-05-28-16:06:45,6623,33,1590671239.55295
12,1.56371e-39,2020-05-28-16:06:45,6623,33,1590671239.55661
13,-107500.0,2020-05-28-16:06:45,6623,33,1590671239.56087
14,-125.665,2020-05-28-16:06:45,6623,33,1590671239.56468
15,-110.427,2020-05-28-16:06:45,6623,33,1590671239.5685
16,-121.636,2020-05-28-16:06:45,6623,33,1590671239.5729
17,-0.000126953,2020-05-28-16:06:45,6623,33,1590671239.57835
18,-0.000117188,2020-05-28-16:06:45,6623,33,1590671239.58245
19,0.000234375,2020-05-28-16:06:45,6623,33,1590671239.58635
20,4.39453e-05,2020-05-28-16:06:45,6623,33,1590671239.5963
9,1.56156e-39,2020-05-28-16:06:45,6623,34,1590671240.6034
10,1.56228e-39,2020-05-28-16:06:45,6623,34,1590671240.6187
